dxProfileId,customerId,deviceEUI,time,coordinates.lng,coordinates.lat,coordinates.alt,age,validityState,horizontalAccuracy,processedFeed.SF,processedFeed.payloadEncoded,processedFeed.sequenceNumber,processedFeed.dynamicMotionState,processedFeed.temperatureMeasure,processedFeed.processedPacket.SNR,processedFeed.processedPacket.RSSI,processedFeed.processedPacket.baseStationId,processedFeed.processedPacket.antennaCoordinates.lng,processedFeed.processedPacket.antennaCoordinates.lat,rawPosition.coordinates.lng,rawPosition.coordinates.lat,rawPosition.coordinates.alt,rawPosition.rawPositionType,resolvedTracker.firmwareVersion,resolvedTracker.messageType,resolvedTracker.trackingMode,resolvedTracker.gpsScanMode,resolvedTracker.sensorMode,resolvedTracker.periodicPositionInterval,resolvedTracker.batteryLevel,resolvedTracker.activityCount
iot-api,100033601,20635F00C8000086,2020-03-16T06:00:34.030000+00:00,-106.887856,32.53701,0.0,272,NEW,11,9,034e928030221364c1c04a350161a9b4,2036,MOVING,20.752941,-6.75,-117.0,08080056,-106.86888,32.57767,-106.887856,32.53701,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,94,-1
iot-api,100033601,20635F00C8000085,2020-03-16T06:00:51.113000+00:00,-106.88794,32.536472,0.0,168,NEW,11,9,034e9082c0151364acc04a3201,2030,MOVING,21.764706,-0.75,-115.0,08080056,-106.86888,32.57767,-106.88794,32.536472,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,95,-1
iot-api,100033601,20635F00C8000087,2020-03-16T06:01:04.756000+00:00,-106.88783,32.537292,0.0,112,NEW,11,9,034e8b7e100e1364ccc04a36016420dc,2386,MOVING,19.741177,-11.0,-117.0,08080056,-106.86888,32.57767,-106.88783,32.537292,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,94,-1
iot-api,100033601,20635F00C8000084,2020-03-16T06:01:15.448000+00:00,-106.84953,32.581043,0.0,575,PREVIOUS,11,8,054c8b7e3040,3275,MOVING,19.741177,-4.75,-118.0,08080056,-106.86888,32.57767,-9999,-9999,-9999,,1.7.5,Heartbeat,PERMANENT_TRACKING,UNKNOWN,UNKNOWN,0,93,-1
iot-api,100033601,20635F00C80000C0,2020-03-16T06:01:21.581000+00:00,-106.88834,32.53596,0.0,176,NEW,11,9,034e8f7bb016136498c04a22017462c7,1975,MOVING,18.22353,-1.0,-119.0,08080056,-106.86888,32.57767,-106.88834,32.53596,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,95,-1
iot-api,100033601,20635F00C80000B0,2020-03-16T06:01:41.167000+00:00,-106.88868,32.53665,0.0,288,NEW,11,9,034e9481c0241364b3c04a150122fde0,2048,MOVING,21.258823,-0.25,-118.0,08080056,-106.86888,32.57767,-106.88868,32.53665,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,95,-1
iot-api,100033601,20635F00C8000081,2020-03-16T06:02:03.929000+00:00,-106.849815,32.580814,0.0,264,NEW,11,7,034e95781021136b70c0500301d64fa9,1479,MOVING,16.705883,3.25,-115.0,08080056,-106.86888,32.57767,-106.849815,32.580814,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,94,-1
iot-api,100033601,20635F00C80000C4,2020-03-16T06:02:37.325000+00:00,-106.8898,32.5375,0.0,208,NEW,11,9,034e937f801a1364d4c049e90105d354,1982,MOVING,20.247059,4.75,-115.0,08080056,-106.86888,32.57767,-106.8898,32.5375,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,95,-1
iot-api,100033601,20635F00C8000015,2020-03-16T06:03:32.863000+00:00,-106.8042,32.53011,0.0,562487,PREVIOUS,8,10,05009a758001,2746,STATIC,15.188235,-8.25,-120.0,08080056,-106.86888,32.57767,-9999,-9999,-9999,,1.7.3,Heartbeat,OFF,UNKNOWN,UNKNOWN,0,17,-1
iot-api,100033601,20635F00C80000E6,2020-03-16T06:03:32.854000+00:00,-106.804085,32.5299,0.0,1167,PREVIOUS,3,9,05488f753001,3642,STATIC,15.188235,-7.5,-118.0,08080056,-106.86888,32.57767,-9999,-9999,-9999,,1.7.5,Heartbeat,PERMANENT_TRACKING,UNKNOWN,UNKNOWN,0,89,-1
iot-api,100033601,20635F00C80000E7,2020-03-16T06:04:10.099000+00:00,-106.80402,32.52994,0.0,144,NEW,3,9,0348917a20121363acc056ff017e4030,6743,STATIC,17.717648,-1.5,-115.0,08080056,-106.86888,32.57767,-106.80405,32.52992,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,0,69,-1
iot-api,100033601,20635F00C80000BE,2020-03-16T06:04:20.420000+00:00,-106.88893,32.53609,0.0,280,NEW,11,9,034c9281802313649dc04a0b013b830f,3197,MOVING,21.258823,2.25,-114.0,08080056,-106.86888,32.57767,-106.88893,32.53609,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,94,-1
iot-api,100033601,20635F00C80000E5,2020-03-16T06:04:47.820000+00:00,-106.80411,32.529892,0.0,152,NEW,3,9,034a927520131363acc056fd0174c97b,2434,STATIC,15.188235,-7.25,-120.0,08080056,-106.86888,32.57767,-106.80409,32.52992,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,91,-1
iot-api,100033601,20635F00C80000E8,2020-03-16T06:04:55.501000+00:00,-106.846825,32.551987,0.0,272,NEW,11,9,034e9678e02213670ac0507801d07529,3401,MOVING,16.705883,-4.0,-114.0,08080056,-106.86888,32.57767,-106.846825,32.551987,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,91,-1
iot-api,100033601,20635F00C80000A8,2020-03-16T06:05:09.093000+00:00,-106.8883,32.537395,0.0,860,PREVIOUS,11,10,054c8b7e5040,3301,MOVING,19.741177,-7.0,-118.0,08080056,-106.86888,32.57767,-9999,-9999,-9999,,1.7.5,Heartbeat,PERMANENT_TRACKING,UNKNOWN,UNKNOWN,0,95,-1
iot-api,100033601,20635F00C80000C2,2020-03-16T06:05:11.950000+00:00,-106.88819,32.53614,0.0,264,NEW,11,9,034e937e402113649fc04a280161f8a6,1462,MOVING,19.741177,-4.5,-119.0,08080056,-106.86888,32.57767,-106.88819,32.53614,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,95,-1
iot-api,100033601,20635F00C80000BC,2020-03-16T06:05:56.942000+00:00,-106.88832,32.536167,0.0,272,NEW,11,9,034e9582d0221364a0c04a23011600d0,1422,MOVING,21.764706,7.25,-107.0,08080056,-106.86888,32.57767,-106.88832,32.536167,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,94,-1
iot-api,100033601,20635F00C80000AB,2020-03-16T06:06:10.749000+00:00,-106.88819,32.53591,0.0,112,NEW,11,9,034e907ad00e136496c04a2801d7be1e,2015,MOVING,17.717648,2.0,-115.0,08080056,-106.86888,32.57767,-106.88819,32.53591,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,95,-1
iot-api,100033601,20635F00C8000084,2020-03-16T06:06:12.414000+00:00,-106.850044,32.58125,0.0,264,NEW,11,8,034c917f3021136b81c04ffa018fa4a3,3276,MOVING,20.247059,8.25,-107.0,08080056,-106.86888,32.57767,-106.850044,32.58125,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,0,93,-1
iot-api,100033601,20635F00C80000E9,2020-03-16T06:06:14.241000+00:00,-106.887985,32.536194,0.0,288,NEW,11,9,034e957b80241364a1c04a300130e100,2013,MOVING,18.22353,-8.75,-119.0,08080056,-106.86888,32.57767,-106.887985,32.536194,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,95,-1
iot-api,100033601,20635F00C8000068,2020-03-16T06:06:23.946000+00:00,-106.92058,32.569088,0.0,256,NEW,11,9,034e967e10201369a6c045370183f578,2000,MOVING,19.741177,-12.0,-117.0,08080056,-106.86888,32.57767,-106.92058,32.569088,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,96,-1
iot-api,100033601,20635F00C8000063,2020-03-16T06:06:31.653000+00:00,-106.93125,32.57124,0.0,288,NEW,11,9,034e967fe0241369fac0439601601ae2,2027,MOVING,20.247059,-3.5,-119.0,08080056,-106.86888,32.57767,-106.93125,32.57124,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,95,-1
iot-api,100033601,20635F00C80000C3,2020-03-16T06:06:58.580000+00:00,-106.88878,32.535934,0.0,56,NEW,11,9,034e8b7d3007136497c04a1101e3b63b,1471,MOVING,19.235294,-6.0,-121.0,08080056,-106.86888,32.57767,-106.88878,32.535934,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,0,94,-1
iot-api,100033601,20635F00C8000080,2020-03-16T06:07:05.392000+00:00,-106.93161,32.571316,0.0,256,NEW,11,9,034e9084b0201369fdc04388013c1b26,2042,MOVING,22.77647,-2.0,-117.0,08080056,-106.86888,32.57767,-106.93161,32.571316,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,95,-1
iot-api,100033601,20635F00C800006A,2020-03-16T06:07:28.974000+00:00,-106.93048,32.570805,0.0,144,NEW,11,9,034e8f88c0121369e9c043b40126b346,1690,MOVING,24.8,-0.25,-117.0,08080056,-106.86888,32.57767,-106.93048,32.570805,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,93,-1
iot-api,100033601,20635F00C8000089,2020-03-16T06:08:13.816000+00:00,-106.88878,32.535732,0.0,184,NEW,11,9,034e927c101713648fc04a1101410717,1640,MOVING,18.729412,-5.25,-119.0,08080056,-106.86888,32.57767,-106.88878,32.535732,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,94,-1
iot-api,100033601,20635F00C8000083,2020-03-16T06:08:29.036000+00:00,-106.850204,32.580837,0.0,256,NEW,11,7,034e927d9020136b71c04ff401e46e5c,2095,MOVING,19.235294,-5.0,-120.0,08080056,-106.86888,32.57767,-106.850204,32.580837,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,94,-1
iot-api,100033601,20635F00C80000E6,2020-03-16T06:08:29.844000+00:00,-106.804085,32.5299,0.0,144,NEW,3,9,0348927630121363acc056fd016c7b71,3643,STATIC,15.694118,-4.25,-119.0,08080056,-106.86888,32.57767,-106.80409,32.52992,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,0,89,-1
iot-api,100033601,20635F00C8000015,2020-03-16T06:08:35.921000+00:00,-106.8042,32.53011,0.0,562790,PREVIOUS,8,10,05009b768001,2747,STATIC,15.694118,-9.75,-115.0,08080056,-106.86888,32.57767,-9999,-9999,-9999,,1.7.3,Heartbeat,OFF,UNKNOWN,UNKNOWN,0,17,-1
iot-api,100033601,20635F00C80000B1,2020-03-16T06:09:00.645000+00:00,-106.88845,32.53752,0.0,884,PREVIOUS,11,10,054e8981b040,3208,MOVING,21.258823,-10.0,-117.0,08080056,-106.86888,32.57767,-9999,-9999,-9999,,1.7.5,Heartbeat,PERMANENT_TRACKING,UNKNOWN,UNKNOWN,900,94,-1
iot-api,100033601,20635F00C80000E7,2020-03-16T06:09:10.105000+00:00,-106.80403,32.52994,0.0,144,NEW,3,9,0348917a20121363adc056ff016e631b,6744,STATIC,17.717648,-4.25,-117.0,08080056,-106.86888,32.57767,-106.80405,32.529945,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,0,69,-1
iot-api,100033601,20635F00C80000BE,2020-03-16T06:09:21.895000+00:00,-106.88893,32.53609,0.0,581,PREVIOUS,11,10,054c8a808040,3198,MOVING,20.752941,-5.75,-120.0,08080056,-106.86888,32.57767,-9999,-9999,-9999,,1.7.5,Heartbeat,PERMANENT_TRACKING,UNKNOWN,UNKNOWN,900,94,-1
iot-api,100033601,20635F00C80000A8,2020-03-16T06:10:04.602000+00:00,-106.88868,32.536755,0.0,264,NEW,11,9,034c927f50211364b7c04a150165e892,3302,MOVING,20.247059,-2.25,-115.0,08080056,-106.86888,32.57767,-106.88868,32.536755,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,0,95,-1
iot-api,100033601,20635F00C80000AD,2020-03-16T06:10:22.939000+00:00,-106.887985,32.535934,0.0,256,NEW,11,9,034e917c2020136497c04a30011518db,2020,MOVING,18.729412,-1.0,-117.0,08080056,-106.86888,32.57767,-106.887985,32.535934,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,95,-1
iot-api,100033601,20635F00C80000AF,2020-03-16T06:10:45.888000+00:00,-106.888214,32.537857,0.0,1167,PREVIOUS,11,9,054c8d82a040,2866,MOVING,21.764706,-6.75,-120.0,08080056,-106.86888,32.57767,-9999,-9999,-9999,,1.7.5,Heartbeat,PERMANENT_TRACKING,UNKNOWN,UNKNOWN,0,95,-1
iot-api,100033601,20635F00C8000088,2020-03-16T06:11:00.352000+00:00,-106.88983,32.537422,0.0,256,NEW,11,9,034e957c40201364d1c049e801f3a71a,2021,MOVING,18.729412,-9.75,-120.0,08080056,-106.86888,32.57767,-106.88983,32.537422,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,96,-1
iot-api,100033601,20635F00C8000084,2020-03-16T06:11:15.450000+00:00,-106.850044,32.58125,0.0,567,PREVIOUS,11,8,054c8a7e3040,3277,MOVING,19.741177,9.0,-102.0,08080056,-106.86888,32.57767,-9999,-9999,-9999,,1.7.5,Heartbeat,PERMANENT_TRACKING,UNKNOWN,UNKNOWN,0,93,-1
iot-api,100033601,20635F00C80000E7,2020-03-16T06:11:26.046000+00:00,-106.80403,32.52994,0.0,279,PREVIOUS,3,9,0448897d2000084eed0005756200000013,6745,STATIC,19.235294,-2.5,-119.0,08080056,-106.86888,32.57767,-9999,-9999,-9999,,1.7.5,Energy Status,PERMANENT_TRACKING,UNKNOWN,UNKNOWN,0,68,-1
iot-api,100033601,20635F00C8000064,2020-03-16T06:12:05.370000+00:00,-106.93069,32.571316,0.0,256,NEW,11,9,034e967d20201369fdc043ac01857c19,2084,MOVING,19.235294,-5.5,-117.0,08080056,-106.86888,32.57767,-106.93069,32.571316,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,95,-1
iot-api,100033601,20635F00C8000062,2020-03-16T06:12:19.466000+00:00,-106.931046,32.57152,0.0,264,NEW,11,9,034e9781a021136a05c0439e01847d29,3122,MOVING,21.258823,-8.0,-119.0,08080056,-106.86888,32.57767,-106.931046,32.57152,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,93,-1
iot-api,100033601,20635F00C80000C5,2020-03-16T06:12:30.487000+00:00,-106.888855,32.53581,0.0,256,NEW,11,9,034c977c1020136492c04a0e0143c4e5,1979,MOVING,18.729412,7.0,-113.0,08080056,-106.86888,32.57767,-106.888855,32.53581,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,0,94,-1
iot-api,100033601,20635F00C80000AC,2020-03-16T06:12:56.630000+00:00,-106.88819,32.536526,0.0,248,NEW,11,9,034e917cb01f1364aec04a280135b09f,1959,MOVING,18.729412,-5.25,-118.0,08080056,-106.86888,32.57767,-106.88819,32.536526,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,95,-1
