dxProfileId,customerId,deviceEUI,time,coordinates.lng,coordinates.lat,coordinates.alt,age,validityState,horizontalAccuracy,processedFeed.SF,processedFeed.payloadEncoded,processedFeed.sequenceNumber,processedFeed.dynamicMotionState,processedFeed.temperatureMeasure,processedFeed.processedPacket.SNR,processedFeed.processedPacket.RSSI,processedFeed.processedPacket.baseStationId,processedFeed.processedPacket.antennaCoordinates.lng,processedFeed.processedPacket.antennaCoordinates.lat,rawPosition.coordinates.lng,rawPosition.coordinates.lat,rawPosition.coordinates.alt,rawPosition.rawPositionType,resolvedTracker.firmwareVersion,resolvedTracker.messageType,resolvedTracker.trackingMode,resolvedTracker.gpsScanMode,resolvedTracker.sensorMode,resolvedTracker.periodicPositionInterval,resolvedTracker.batteryLevel,resolvedTracker.activityCount
iot-api,100033601,20635F00C80000A8,2020-03-17T06:00:11.977000+00:00,-106.90139,32.558456,0.0,541,PREVIOUS,7,10,0548927a5040,3590,STATIC,17.717648,-7.25,-119.0,08080056,-106.86888,32.57767,-9999,-9999,-9999,,1.7.5,Heartbeat,PERMANENT_TRACKING,UNKNOWN,UNKNOWN,0,94,-1
iot-api,100033601,20635F00C8000086,2020-03-17T06:00:32.427000+00:00,-106.900764,32.558437,0.0,128,NEW,11,9,034e8c843010136806c0483d01026813,2134,MOVING,22.77647,-9.75,-120.0,08080056,-106.86888,32.57767,-106.900764,32.558437,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,94,-1
iot-api,100033601,20635F00C80000AF,2020-03-17T06:00:46.291000+00:00,-106.898224,32.556263,0.0,455,PREVIOUS,11,9,0548897ca040,3154,STATIC,18.729412,-3.0,-120.0,08080056,-106.86888,32.57767,-9999,-9999,-9999,,1.7.5,Heartbeat,PERMANENT_TRACKING,UNKNOWN,UNKNOWN,0,93,-1
iot-api,100033601,20635F00C8000087,2020-03-17T06:01:03.045000+00:00,-106.89815,32.556595,0.0,272,NEW,11,9,034a8f7710221367bec048a30107e194,2484,STATIC,16.2,-2.25,-119.0,08080056,-106.86888,32.57767,-106.89815,32.556595,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,94,-1
iot-api,100033601,20635F00C8000084,2020-03-17T06:01:15.804000+00:00,-106.84956,32.58094,0.0,551,PREVIOUS,11,7,054c8a7d3040,3565,MOVING,19.235294,7.5,-111.0,08080056,-106.86888,32.57767,-9999,-9999,-9999,,1.7.5,Heartbeat,PERMANENT_TRACKING,UNKNOWN,UNKNOWN,0,93,-1
iot-api,100033601,20635F00C80000C0,2020-03-17T06:01:19.829000+00:00,-106.90112,32.558514,0.0,152,NEW,11,9,034e8d76b013136809c0482f01d3759a,2073,MOVING,15.694118,0.75,-114.0,08080056,-106.86888,32.57767,-106.90112,32.558514,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,94,-1
iot-api,100033601,20635F00C8000081,2020-03-17T06:02:02.583000+00:00,-106.849075,32.580837,0.0,256,NEW,11,7,034e95771020136b71c0502001d7bf71,1577,MOVING,16.2,-8.0,-120.0,08080056,-106.86888,32.57767,-106.849075,32.580837,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,94,-1
iot-api,100033601,20635F00C80000E6,2020-03-17T06:02:06.923000+00:00,-106.804085,32.529877,0.0,52640,PREVIOUS,3,10,05009b758001,3930,STATIC,15.188235,-10.5,-117.0,08080056,-106.86888,32.57767,-9999,-9999,-9999,,1.7.5,Heartbeat,OFF,UNKNOWN,UNKNOWN,0,88,-1
iot-api,100033601,20635F00C80000C4,2020-03-17T06:02:35.746000+00:00,-106.90145,32.55848,0.0,1035,PREVIOUS,5,9,034a8b7e8100adc17fa3,2080,STATIC,19.741177,-1.0,-117.0,08080056,-106.86888,32.57767,-9999,-9999,-9999,,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,UNKNOWN,900,95,-1
iot-api,100033601,20635F00C80000B1,2020-03-17T06:03:57.601000+00:00,-106.901276,32.55803,0.0,1370,PREVIOUS,11,9,054c877bb040,3497,MOVING,18.22353,-6.5,-117.0,08080056,-106.86888,32.57767,-9999,-9999,-9999,,1.7.5,Heartbeat,PERMANENT_TRACKING,UNKNOWN,UNKNOWN,900,92,-1
iot-api,100033601,20635F00C80000E7,2020-03-17T06:04:12.268000+00:00,-106.80406,32.529922,0.0,144,NEW,3,9,0348917f20121363aac056fe016e5038,7033,STATIC,20.247059,0.5,-113.0,08080056,-106.86888,32.57767,-106.80407,32.52987,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,0,66,-1
iot-api,100033601,20635F00C80000E5,2020-03-17T06:04:46.762000+00:00,-106.804115,32.52991,0.0,240,NEW,3,9,030a9474e01e1363adc056fb0116ab89,2627,STATIC,14.682353,-7.0,-120.0,08080056,-106.86888,32.57767,-106.804146,32.529945,0.0,RawPositionByGpsSolver,1.7.5,Position Message,OFF,UNKNOWN,GPS_ONLY,900,90,-1
iot-api,100033601,20635F00C80000E8,2020-03-17T06:04:54.207000+00:00,-106.850815,32.569675,0.0,224,NEW,11,7,030a937ba01c1369bdc04fdc01f0541c,3609,STATIC,18.22353,7.5,-108.0,08080056,-106.86888,32.57767,-106.850815,32.569675,0.0,RawPositionByGpsSolver,1.7.5,Position Message,OFF,UNKNOWN,GPS_ONLY,900,90,-1
iot-api,100033601,20635F00C80000C2,2020-03-17T06:05:10.022000+00:00,-106.90069,32.55836,0.0,200,NEW,11,9,034a91794019136803c04840011138f1,1560,STATIC,17.211765,-4.25,-117.0,08080056,-106.86888,32.57767,-106.90069,32.55836,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,94,-1
iot-api,100033601,20635F00C80000A8,2020-03-17T06:05:14.994000+00:00,-106.90139,32.558456,0.0,844,PREVIOUS,7,10,054c8a7a5040,3591,MOVING,17.717648,-11.75,-119.0,08080056,-106.86888,32.57767,-9999,-9999,-9999,,1.7.5,Heartbeat,PERMANENT_TRACKING,UNKNOWN,UNKNOWN,0,94,-1
iot-api,100033601,20635F00C8000082,2020-03-17T06:05:31.327000+00:00,-106.84928,32.580837,0.0,88,NEW,11,7,034e8b7b100b136b71c050180140957b,5324,MOVING,18.22353,-1.5,-113.0,08080056,-106.86888,32.57767,-106.84928,32.580837,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,86,-1
iot-api,100033601,20635F00C80000AF,2020-03-17T06:05:43.278000+00:00,-106.89824,32.55626,0.0,144,NEW,8,9,03488f7da0121367b0c0489e015e0c6c,3155,STATIC,19.235294,-3.25,-117.0,08080056,-106.86888,32.57767,-106.89828,32.556236,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,0,93,-1
iot-api,100033601,20635F00C80000BC,2020-03-17T06:05:54.916000+00:00,-106.9013,32.558514,0.0,1099,PREVIOUS,11,9,034e8b85d10066b76bbc,1520,MOVING,23.282352,5.0,-113.0,08080056,-106.86888,32.57767,-9999,-9999,-9999,,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,UNKNOWN,900,94,-1
iot-api,100033601,20635F00C80000AB,2020-03-17T06:06:09.138000+00:00,-106.89523,32.55403,0.0,72,NEW,8,9,034a8e7ad009136759c0491501856f94,2113,STATIC,17.717648,-10.75,-118.0,08080056,-106.86888,32.57767,-106.89523,32.55401,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,94,-1
iot-api,100033601,20635F00C80000E9,2020-03-17T06:06:12.600000+00:00,-106.90096,32.558594,0.0,144,NEW,7,9,034a917a801213680dc0483501f49543,2111,STATIC,17.717648,-13.0,-120.0,08080056,-106.86888,32.57767,-106.90096,32.558617,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,95,-1
iot-api,100033601,20635F00C8000084,2020-03-17T06:06:12.766000+00:00,-106.84977,32.580685,0.0,280,NEW,11,7,034c927d3023136b6bc05005019c84da,3566,MOVING,19.235294,2.0,-114.0,08080056,-106.86888,32.57767,-106.84977,32.580685,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,0,93,-1
iot-api,100033601,20635F00C8000063,2020-03-17T06:06:30.035000+00:00,-106.92319,32.559387,0.0,216,NEW,11,9,034e9379e01b13682bc044d101610a44,2125,MOVING,17.211765,1.75,-115.0,08080056,-106.86888,32.57767,-106.92319,32.559387,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,95,-1
iot-api,100033601,20635F00C80000E6,2020-03-17T06:07:09.982000+00:00,-106.804085,32.529877,0.0,52943,PREVIOUS,3,10,05009b768001,3931,STATIC,15.694118,-8.5,-120.0,08080056,-106.86888,32.57767,-9999,-9999,-9999,,1.7.5,Heartbeat,OFF,UNKNOWN,UNKNOWN,0,88,-1
iot-api,100033601,20635F00C80000C1,2020-03-17T06:07:14.745000+00:00,-106.90162,32.55858,0.0,168,NEW,8,9,034a907d601513680ac0481d01312b25,2113,STATIC,19.235294,3.75,-115.0,08080056,-106.86888,32.57767,-106.90158,32.55854,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,94,-1
iot-api,100033601,20635F00C800006A,2020-03-17T06:07:27.777000+00:00,-106.9248,32.55954,0.0,272,NEW,11,9,034e957dc022136831c044920165f05f,1788,MOVING,19.235294,-1.75,-120.0,08080056,-106.86888,32.57767,-106.9248,32.55954,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,93,-1
iot-api,100033601,20635F00C8000089,2020-03-17T06:08:12.422000+00:00,-106.90094,32.55849,0.0,152,NEW,11,9,034a907a1013136808c0483601,1738,STATIC,17.717648,-9.5,-120.0,08080056,-106.86888,32.57767,-106.90094,32.55849,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,94,-1
iot-api,100033601,20635F00C8000083,2020-03-17T06:08:27.420000+00:00,-106.84997,32.58071,0.0,224,NEW,11,7,034e927d901c136b6cc04ffd01957d27,2193,MOVING,19.235294,4.25,-109.0,08080056,-106.86888,32.57767,-106.84997,32.58071,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,94,-1
iot-api,100033601,20635F00C8000015,2020-03-17T06:08:34.593000+00:00,-106.8042,32.53011,0.0,649188,PREVIOUS,8,10,05009a768001,3033,STATIC,15.694118,-8.75,-118.0,08080056,-106.86888,32.57767,-9999,-9999,-9999,,1.7.3,Heartbeat,OFF,UNKNOWN,UNKNOWN,0,17,-1
