dxProfileId,customerId,deviceEUI,time,coordinates.lng,coordinates.lat,coordinates.alt,age,validityState,horizontalAccuracy,processedFeed.SF,processedFeed.payloadEncoded,processedFeed.sequenceNumber,processedFeed.dynamicMotionState,processedFeed.temperatureMeasure,processedFeed.processedPacket.SNR,processedFeed.processedPacket.RSSI,processedFeed.processedPacket.baseStationId,processedFeed.processedPacket.antennaCoordinates.lng,processedFeed.processedPacket.antennaCoordinates.lat,rawPosition.coordinates.lng,rawPosition.coordinates.lat,rawPosition.coordinates.alt,rawPosition.rawPositionType,resolvedTracker.firmwareVersion,resolvedTracker.messageType,resolvedTracker.trackingMode,resolvedTracker.gpsScanMode,resolvedTracker.sensorMode,resolvedTracker.periodicPositionInterval,resolvedTracker.batteryLevel,resolvedTracker.activityCount
iot-api,100033601,20635F00C80000A8,2020-03-15T06:00:04.055000+00:00,-106.90096,32.558388,0.0,557,PREVIOUS,11,10,0548937a5040,3010,STATIC,17.717648,-11.75,-120.0,08080056,-106.86888,32.57767,-9999,-9999,-9999,,1.7.5,Heartbeat,PERMANENT_TRACKING,UNKNOWN,UNKNOWN,0,95,-1
iot-api,100033601,20635F00C8000086,2020-03-15T06:00:35.683000+00:00,-106.89436,32.548275,0.0,216,NEW,11,9,034e907b301b136679c04937017129f1,1938,MOVING,18.22353,-3.5,-119.0,08080056,-106.86888,32.57767,-106.89436,32.548275,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,95,-1
iot-api,100033601,20635F00C8000085,2020-03-15T06:00:52.623000+00:00,-106.89385,32.548428,0.0,144,NEW,11,9,034a907dc01213667fc0494b01,1932,STATIC,19.235294,-13.75,-118.0,08080056,-106.86888,32.57767,-106.89385,32.548428,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,95,-1
iot-api,100033601,20635F00C8000084,2020-03-15T06:01:15.103000+00:00,-106.84726,32.582092,0.0,447,PREVIOUS,11,7,054c887d3040,2985,MOVING,19.235294,6.0,-109.0,08080056,-106.86888,32.57767,-9999,-9999,-9999,,1.7.5,Heartbeat,PERMANENT_TRACKING,UNKNOWN,UNKNOWN,0,94,-1
iot-api,100033601,20635F00C80000C0,2020-03-15T06:01:23.339000+00:00,-106.9012,32.55818,0.0,256,NEW,11,9,034e9175b0201367fcc0482c0177f266,1877,MOVING,15.188235,1.25,-115.0,08080056,-106.86888,32.57767,-106.9012,32.55818,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,95,-1
iot-api,100033601,20635F00C80000B0,2020-03-15T06:01:42.727000+00:00,-106.89185,32.548634,0.0,272,NEW,11,9,034e9379c022136687c049990120fd43,1950,MOVING,17.211765,-1.75,-117.0,08080056,-106.86888,32.57767,-106.89185,32.548634,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,96,-1
iot-api,100033601,20635F00C8000081,2020-03-15T06:02:05.282000+00:00,-106.84713,32.58199,0.0,2071,PREVIOUS,11,7,034e8a7b1100c65b66cc,1381,MOVING,18.22353,-1.75,-117.0,08080056,-106.86888,32.57767,-9999,-9999,-9999,,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,UNKNOWN,900,95,-1
iot-api,100033601,20635F00C80000C4,2020-03-15T06:02:38.883000+00:00,-106.901085,32.55859,0.0,0,NEW,5,9,034a8b82800013680ac048300136a351,1884,STATIC,21.764706,-11.0,-120.0,08080056,-106.86888,32.57767,-106.90109,32.55854,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,96,-1
iot-api,100033601,20635F00C80000E6,2020-03-15T06:03:30.401000+00:00,-106.80411,32.529884,0.0,469,PREVIOUS,3,9,05488c703001,3352,STATIC,12.658824,-6.0,-117.0,08080056,-106.86888,32.57767,-9999,-9999,-9999,,1.7.5,Heartbeat,PERMANENT_TRACKING,UNKNOWN,UNKNOWN,0,91,-1
iot-api,100033601,20635F00C8000015,2020-03-15T06:03:34.149000+00:00,-106.8042,32.53011,0.0,476088,PREVIOUS,8,10,05009b708001,2460,STATIC,12.658824,-9.5,-120.0,08080056,-106.86888,32.57767,-9999,-9999,-9999,,1.7.3,Heartbeat,OFF,UNKNOWN,UNKNOWN,0,17,-1
