dxProfileId,customerId,deviceEUI,time,coordinates.lng,coordinates.lat,coordinates.alt,age,validityState,horizontalAccuracy,processedFeed.SF,processedFeed.payloadEncoded,processedFeed.sequenceNumber,processedFeed.dynamicMotionState,processedFeed.temperatureMeasure,processedFeed.processedPacket.SNR,processedFeed.processedPacket.RSSI,processedFeed.processedPacket.baseStationId,processedFeed.processedPacket.antennaCoordinates.lng,processedFeed.processedPacket.antennaCoordinates.lat,rawPosition.coordinates.lng,rawPosition.coordinates.lat,rawPosition.coordinates.alt,rawPosition.rawPositionType,resolvedTracker.firmwareVersion,resolvedTracker.messageType,resolvedTracker.trackingMode,resolvedTracker.gpsScanMode,resolvedTracker.sensorMode,resolvedTracker.periodicPositionInterval,resolvedTracker.batteryLevel,resolvedTracker.activityCount
iot-api,100033601,20635F00C8000085,2020-03-13T06:00:55.685000+00:00,-106.88806,32.53701,0.0,272,NEW,11,9,034e9478c0221364c1c04a2d01100095,1736,MOVING,16.705883,-10.75,-117.0,08080056,-106.86888,32.57767,-106.88806,32.53701,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,97,-1
iot-api,100033601,20635F00C80000B0,2020-03-13T06:01:45.981000+00:00,-106.88809,32.536858,0.0,224,NEW,11,9,034e917ac01c1364bbc04a2c0130ed59,1754,MOVING,17.717648,-9.75,-114.0,08080056,-106.86888,32.57767,-106.88809,32.536858,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,96,-1
iot-api,100033601,20635F00C80000C4,2020-03-13T06:02:42.136000+00:00,-106.88878,32.536858,0.0,192,NEW,11,9,034e947a80181364bbc04a110174a0a0,1688,MOVING,17.717648,2.75,-114.0,08080056,-106.86888,32.57767,-106.88878,32.536858,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,97,-1
iot-api,100033601,20635F00C80000E4,2020-03-13T06:03:37.533000+00:00,-106.88809,32.53701,0.0,184,NEW,11,9,034e8d7d10171364c1c04a2c01d7abe4,1136,MOVING,19.235294,-9.0,-118.0,08080056,-106.86888,32.57767,-106.88809,32.53701,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,97,-1
iot-api,100033601,20635F00C80000B1,2020-03-13T06:04:04.029000+00:00,-106.89431,32.538162,0.0,2382,PREVIOUS,11,9,054c867eb040,2337,MOVING,19.741177,-6.25,-120.0,08080056,-106.86888,32.57767,-9999,-9999,-9999,,1.7.5,Heartbeat,PERMANENT_TRACKING,UNKNOWN,UNKNOWN,900,95,-1
iot-api,100033601,20635F00C80000BE,2020-03-13T06:04:20.749000+00:00,-106.888626,32.536987,0.0,296,NEW,11,9,034c947b80251364c0c04a17014ad3b9,2327,MOVING,18.22353,-3.5,-117.0,08080056,-106.86888,32.57767,-106.888626,32.536987,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,96,-1
iot-api,100033601,20635F00C80000E5,2020-03-13T06:04:51.015000+00:00,-106.80405,32.529934,0.0,272,NEW,3,9,034a937220221363acc057000136b849,2140,STATIC,13.6705885,-5.0,-120.0,08080056,-106.86888,32.57767,-106.804016,32.52992,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,93,-1
iot-api,100033601,20635F00C80000A8,2020-03-13T06:05:06.607000+00:00,-106.89034,32.537346,0.0,1778,PREVIOUS,11,9,054c897b5040,2431,MOVING,18.22353,-5.25,-119.0,08080056,-106.86888,32.57767,-9999,-9999,-9999,,1.7.5,Heartbeat,PERMANENT_TRACKING,UNKNOWN,UNKNOWN,0,97,-1
iot-api,100033601,20635F00C80000C2,2020-03-13T06:05:17.776000+00:00,-106.889725,32.538292,0.0,0,NEW,23,9,034a897f40001364f3c049ec0261580b,1168,STATIC,20.247059,-7.25,-118.0,08080056,-106.86888,32.57767,-106.889725,32.538292,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,96,-1
iot-api,100033601,20635F00C80000AF,2020-03-13T06:05:41.973000+00:00,-106.88873,32.53701,0.0,280,NEW,11,9,034c947ca0231364c1c04a13018ecc9b,1995,MOVING,18.729412,-1.75,-117.0,08080056,-106.86888,32.57767,-106.88873,32.53701,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,0,96,-1
iot-api,100033601,20635F00C80000BC,2020-03-13T06:06:03.053000+00:00,-106.888214,32.536526,0.0,272,NEW,11,9,034e957ad0221364aec04a270164b388,1128,MOVING,17.717648,-7.75,-119.0,08080056,-106.86888,32.57767,-106.888214,32.536526,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,96,-1
iot-api,100033601,20635F00C80000E9,2020-03-13T06:06:19.289000+00:00,-106.8877,32.53701,0.0,248,NEW,11,9,034a9476801f1364c1c04a3b017363b0,1719,STATIC,15.694118,-5.5,-113.0,08080056,-106.86888,32.57767,-106.8877,32.53701,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,97,-1
iot-api,100033601,20635F00C8000068,2020-03-13T06:06:28.749000+00:00,-106.91177,32.572857,0.0,272,NEW,8,9,034a96831022136a3ac0469101e0969c,1706,STATIC,22.270588,-3.25,-117.0,08080056,-106.86888,32.57767,-106.91172,32.572876,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,97,-1
iot-api,100033601,20635F00C8000080,2020-03-13T06:07:09.475000+00:00,-106.91336,32.57234,0.0,1171,PREVIOUS,11,9,034a8880b100a8b299c6,1748,STATIC,20.752941,-13.5,-113.0,08080056,-106.86888,32.57767,-9999,-9999,-9999,,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,UNKNOWN,900,97,-1
iot-api,100033601,20635F00C80000C1,2020-03-13T06:07:20.803000+00:00,-106.88855,32.53752,0.0,248,NEW,11,9,034e937e601f1364d5c04a1a01cc9627,1721,MOVING,19.741177,-13.75,-115.0,08080056,-106.86888,32.57767,-106.88855,32.53752,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,97,-1
iot-api,100033601,20635F00C8000015,2020-03-13T06:08:38.445000+00:00,-106.8042,32.53011,0.0,303592,PREVIOUS,8,10,050099738001,1889,STATIC,14.176471,-8.5,-117.0,08080056,-106.86888,32.57767,-9999,-9999,-9999,,1.7.3,Heartbeat,OFF,UNKNOWN,UNKNOWN,0,17,-1
iot-api,100033601,20635F00C80000E7,2020-03-13T06:09:03.613000+00:00,-106.80981,32.534657,0.0,5372,PREVIOUS,11,9,03488f7b20121363acc056ff019aa420,5875,STATIC,18.22353,-6.5,-117.0,08080056,-106.86888,32.57767,-106.80405,32.52992,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,0,76,-1
