dxProfileId,customerId,deviceEUI,time,coordinates.lng,coordinates.lat,coordinates.alt,age,validityState,horizontalAccuracy,processedFeed.SF,processedFeed.payloadEncoded,processedFeed.sequenceNumber,processedFeed.dynamicMotionState,processedFeed.temperatureMeasure,processedFeed.processedPacket.SNR,processedFeed.processedPacket.RSSI,processedFeed.processedPacket.baseStationId,processedFeed.processedPacket.antennaCoordinates.lng,processedFeed.processedPacket.antennaCoordinates.lat,rawPosition.coordinates.lng,rawPosition.coordinates.lat,rawPosition.coordinates.alt,rawPosition.rawPositionType,resolvedTracker.firmwareVersion,resolvedTracker.messageType,resolvedTracker.trackingMode,resolvedTracker.gpsScanMode,resolvedTracker.sensorMode,resolvedTracker.periodicPositionInterval,resolvedTracker.batteryLevel,resolvedTracker.activityCount
iot-api,100033601,20635F00C80000A8,2020-03-20T06:00:33.084000+00:00,-106.89572,32.5472,0.0,469,PREVIOUS,11,10,0548927a5040,4460,STATIC,17.717648,-9.5,-119.0,08080056,-106.86889,32.57767,-9999,-9999,-9999,,1.7.5,Heartbeat,PERMANENT_TRACKING,UNKNOWN,UNKNOWN,0,93,-1
iot-api,100033601,20635F00C80000AF,2020-03-20T06:00:49.691000+00:00,-106.919426,32.554802,0.0,1783,PREVIOUS,11,9,054c8a76a040010705,4024,MOVING,15.694118,-9.25,-117.0,08080056,-106.86889,32.57767,-9999,-9999,-9999,,1.7.5,Heartbeat,PERMANENT_TRACKING,UNKNOWN,UNKNOWN,0,91,-1
iot-api,100033601,20635F00C8000087,2020-03-20T06:00:58.021000+00:00,-106.918915,32.556442,0.0,248,NEW,11,9,034e8f74101f1367b8c045780164d134,2778,MOVING,14.682353,-4.5,-119.0,08080056,-106.86889,32.57767,-106.918915,32.556442,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,92,-1
iot-api,100033601,20635F00C8000084,2020-03-20T06:01:16.895000+00:00,-106.868324,32.585163,0.0,447,PREVIOUS,11,7,0548897a3040,4435,STATIC,17.717648,7.5,-81.0,08080056,-106.86889,32.57767,-9999,-9999,-9999,,1.7.5,Heartbeat,PERMANENT_TRACKING,UNKNOWN,UNKNOWN,0,91,-1
iot-api,100033601,20635F00C80000B0,2020-03-20T06:01:34.865000+00:00,-106.91958,32.55634,0.0,240,NEW,11,9,034e9173c01e1367b4c0455e01201cf4,2440,MOVING,14.176471,-6.75,-115.0,08080056,-106.86889,32.57767,-106.91958,32.55634,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,93,-1
iot-api,100033601,20635F00C8000081,2020-03-20T06:01:58.845000+00:00,-106.868355,32.585266,0.0,216,NEW,11,7,034e9173101b136c1ec04d2f01b56c46,1871,MOVING,14.176471,7.75,-84.0,08080056,-106.86889,32.57767,-106.868355,32.585266,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,92,-1
iot-api,100033601,20635F00C80000E6,2020-03-20T06:02:05.412000+00:00,-106.804085,32.529877,0.0,311839,PREVIOUS,3,10,05009c678001,4788,STATIC,8.105883,-8.25,-121.0,08080056,-106.86889,32.57767,-9999,-9999,-9999,,1.7.5,Heartbeat,OFF,UNKNOWN,UNKNOWN,0,88,-1
iot-api,100033601,20635F00C80000C4,2020-03-20T06:02:31.010000+00:00,-106.9172,32.5461,0.0,232,NEW,11,8,034e9376801d136624c045bb011481f6,2374,MOVING,15.694118,-5.0,-115.0,08080056,-106.86889,32.57767,-106.9172,32.5461,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,93,-1
iot-api,100033601,20635F00C8000015,2020-03-20T06:03:25.754000+00:00,-106.8042,32.53011,0.0,908079,PREVIOUS,8,9,05009c688001,3890,STATIC,8.611765,2.5,-112.0,08080056,-106.86889,32.57767,-9999,-9999,-9999,,1.7.3,Heartbeat,OFF,UNKNOWN,UNKNOWN,0,17,-1
iot-api,100033601,20635F00C80000E4,2020-03-20T06:03:29.460000+00:00,-106.89556,32.547096,0.0,0,NEW,11,9,034a8681100013664bc0490801,1822,STATIC,21.258823,-10.5,-121.0,08080056,-106.86889,32.57767,-106.89556,32.547096,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,94,-1
iot-api,100033601,20635F00C80000B1,2020-03-20T06:03:51.151000+00:00,-106.89516,32.546944,0.0,549,PREVIOUS,11,9,054c8979b040,4367,MOVING,17.211765,-1.0,-118.0,08080056,-106.86889,32.57767,-9999,-9999,-9999,,1.7.5,Heartbeat,PERMANENT_TRACKING,UNKNOWN,UNKNOWN,900,89,-1
iot-api,100033601,20635F00C80000BE,2020-03-20T06:04:22.425000+00:00,-106.91709,32.54602,0.0,272,NEW,11,9,034c91768022136621c045bf0139d3a9,4357,MOVING,15.694118,-12.25,-119.0,08080056,-106.86889,32.57767,-106.91709,32.54602,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,92,-1
iot-api,100033601,20635F00C80000E8,2020-03-20T06:04:50.969000+00:00,-106.850685,32.57024,0.0,88,NEW,11,8,030e8f74a00b1369d3c04fe101a224df,4479,MOVING,14.682353,3.25,-114.0,08080056,-106.86889,32.57767,-106.850685,32.57024,0.0,RawPositionByGpsSolver,1.7.5,Position Message,OFF,UNKNOWN,GPS_ONLY,900,88,-1
iot-api,100033601,20635F00C80000C2,2020-03-20T06:05:04.296000+00:00,-106.917915,32.546047,0.0,264,NEW,11,9,034e91764021136622c0459f01213b30,1854,MOVING,15.694118,-10.25,-117.0,08080056,-106.86889,32.57767,-106.917915,32.546047,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,93,-1
iot-api,100033601,20635F00C8000082,2020-03-20T06:05:27.745000+00:00,-106.86843,32.58519,0.0,1083,PREVIOUS,11,7,034a8478110070a3b7b2,5618,STATIC,16.705883,4.75,-107.0,08080056,-106.86889,32.57767,-9999,-9999,-9999,,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,UNKNOWN,900,84,-1
