time,5117.battery,5117.maxbotix-mb7386-distance,5117.maxbotix-mb7386-trials,5118.battery,5118.rain-gauge-interval,5118.rain-gauge-precipitation,5118.rain-gauge-precipitation-sum
2020-03-20 18:39:15.732000-06:00,2.849,9999.0,0.0,,,,
2020-03-20 18:49:16.129000-06:00,2.849,500.0,0.0,,,,
2020-03-20 18:49:19.607000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-20 18:59:16.263000-06:00,,,,2.902,600.0,0.0,7.4
2020-03-20 18:59:19.491000-06:00,2.849,9999.0,0.0,,,,
2020-03-20 19:09:15.334000-06:00,,,,2.902,600.0,0.0,7.4
2020-03-20 19:09:17.694000-06:00,2.846,9999.0,0.0,,,,
2020-03-20 19:19:12.133000-06:00,2.846,9999.0,0.0,,,,
2020-03-20 19:19:17.734000-06:00,,,,2.902,600.0,0.0,7.4
2020-03-20 19:29:16.524000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-20 19:29:19.476000-06:00,2.846,9999.0,0.0,,,,
2020-03-20 19:39:13.684000-06:00,2.846,9999.0,0.0,,,,
2020-03-20 19:39:19.886000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-20 19:49:16.111000-06:00,2.846,9999.0,0.0,,,,
2020-03-20 19:49:16.609000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-20 19:59:14.986000-06:00,2.846,9999.0,0.0,,,,
2020-03-20 19:59:18.050000-06:00,,,,2.902,600.0,0.0,7.4
2020-03-20 20:09:13.213000-06:00,2.846,9999.0,0.0,,,,
2020-03-20 20:09:15.198000-06:00,,,,2.902,600.0,0.0,7.4
2020-03-20 20:19:13.261000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-20 20:19:13.696000-06:00,2.846,9999.0,0.0,,,,
2020-03-20 20:29:16.705000-06:00,2.846,9999.0,0.0,,,,
2020-03-20 20:29:17.640000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-20 20:39:14.722000-06:00,2.846,9999.0,0.0,,,,
2020-03-20 20:39:16.400000-06:00,,,,2.902,600.0,0.0,7.4
2020-03-20 20:49:15.935000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-20 20:49:18.787000-06:00,2.846,9999.0,0.0,,,,
2020-03-20 20:59:16.742000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-20 20:59:18.886000-06:00,2.846,9999.0,0.0,,,,
2020-03-20 21:09:14.597000-06:00,2.846,9999.0,0.0,,,,
2020-03-20 21:09:18.636000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-20 21:19:14.426000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-20 21:19:18.068000-06:00,2.846,9999.0,0.0,,,,
2020-03-20 21:29:14.972000-06:00,2.846,9999.0,0.0,,,,
2020-03-20 21:29:19.759000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-20 21:39:12.673000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-20 21:39:13.318000-06:00,2.846,9999.0,0.0,,,,
2020-03-20 21:49:13.510000-06:00,2.846,9999.0,0.0,,,,
2020-03-20 21:49:18.259000-06:00,,,,2.902,600.0,0.0,7.4
2020-03-20 21:59:15.914000-06:00,2.846,9999.0,0.0,,,,
2020-03-20 21:59:19.444000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-20 22:09:12.060000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-20 22:09:15.191000-06:00,2.846,9999.0,0.0,,,,
2020-03-20 22:19:15.311000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-20 22:19:17.796000-06:00,2.849,9999.0,0.0,,,,
2020-03-20 22:29:12.481000-06:00,2.846,9999.0,0.0,,,,
2020-03-20 22:29:13.830000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-20 22:39:16.836000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-20 22:39:17.893000-06:00,2.846,9999.0,0.0,,,,
2020-03-20 22:49:14.881000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-20 22:49:19.245000-06:00,2.846,9999.0,0.0,,,,
2020-03-20 22:59:13.398000-06:00,2.849,9999.0,0.0,,,,
2020-03-20 22:59:18.724000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-20 23:09:12.239000-06:00,2.849,500.0,0.0,,,,
2020-03-20 23:09:18.411000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-20 23:19:14.024000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-20 23:19:19.456000-06:00,2.849,9999.0,0.0,,,,
2020-03-20 23:29:11.868000-06:00,2.846,9999.0,0.0,,,,
2020-03-20 23:29:19.268000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-20 23:39:13.779000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-20 23:39:15.227000-06:00,2.849,9999.0,0.0,,,,
2020-03-20 23:49:16.776000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-20 23:49:17.434000-06:00,2.846,9999.0,0.0,,,,
2020-03-20 23:59:14.787000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-20 23:59:15.861000-06:00,2.846,9999.0,0.0,,,,
2020-03-21 00:09:14.809000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-21 00:09:15.219000-06:00,2.846,9999.0,0.0,,,,
2020-03-21 00:19:17.441000-06:00,2.846,9999.0,0.0,,,,
2020-03-21 00:19:18.622000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-21 00:29:14.512000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-21 00:29:15.860000-06:00,2.846,9999.0,0.0,,,,
2020-03-21 00:39:18.289000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-21 00:39:18.725000-06:00,2.846,9999.0,0.0,,,,
2020-03-21 00:49:16.967000-06:00,2.846,9999.0,0.0,,,,
2020-03-21 00:49:19.831000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-21 00:59:12.684000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-21 00:59:17.483000-06:00,2.846,9999.0,0.0,,,,
2020-03-21 01:09:14.384000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-21 01:09:16.464000-06:00,2.846,9999.0,0.0,,,,
2020-03-21 01:19:14.065000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-21 01:19:18.492000-06:00,2.846,9999.0,0.0,,,,
2020-03-21 01:29:14.518000-06:00,2.846,9999.0,0.0,,,,
2020-03-21 01:29:15.157000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-21 01:39:14.627000-06:00,2.846,9999.0,0.0,,,,
2020-03-21 01:39:17.361000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-21 01:49:12.014000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-21 01:49:14.339000-06:00,2.846,9999.0,0.0,,,,
2020-03-21 01:59:13.765000-06:00,2.846,9999.0,0.0,,,,
2020-03-21 01:59:15.082000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-21 02:09:17.452000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-21 02:09:19.148000-06:00,2.846,9999.0,0.0,,,,
2020-03-21 02:19:16.212000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-21 02:19:17.368000-06:00,2.846,9999.0,0.0,,,,
2020-03-21 02:29:11.842000-06:00,2.846,9999.0,0.0,,,,
2020-03-21 02:29:15.718000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-21 02:39:14.813000-06:00,2.846,9999.0,0.0,,,,
2020-03-21 02:39:16.735000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-21 02:49:12.721000-06:00,2.846,9999.0,0.0,,,,
2020-03-21 02:49:18.804000-06:00,,,,2.907,600.0,0.0,7.4
2020-03-21 02:59:14.681000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-21 02:59:17.079000-06:00,2.846,9999.0,0.0,,,,
2020-03-21 03:09:13.267000-06:00,2.846,9999.0,0.0,,,,
2020-03-21 03:09:18.420000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-21 03:19:11.681000-06:00,2.846,9999.0,0.0,,,,
2020-03-21 03:19:13.895000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-21 03:29:14.853000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-21 03:29:15.026000-06:00,2.846,9999.0,0.0,,,,
2020-03-21 03:39:13.195000-06:00,2.846,9999.0,0.0,,,,
2020-03-21 03:39:16.798000-06:00,,,,2.907,600.0,0.0,7.4
2020-03-21 03:49:12.081000-06:00,2.846,9999.0,0.0,,,,
2020-03-21 03:49:16.923000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-21 03:59:13.177000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-21 03:59:15.314000-06:00,2.846,9999.0,0.0,,,,
2020-03-21 04:09:13.683000-06:00,,,,2.907,600.0,0.0,7.4
2020-03-21 04:09:15.764000-06:00,2.846,9999.0,0.0,,,,
2020-03-21 04:19:14.718000-06:00,2.846,9999.0,0.0,,,,
2020-03-21 04:19:16.693000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-21 04:29:16.611000-06:00,2.846,9999.0,0.0,,,,
2020-03-21 04:29:18.715000-06:00,,,,2.907,600.0,0.0,7.4
2020-03-21 04:39:12.878000-06:00,2.846,9999.0,0.0,,,,
2020-03-21 04:39:18.775000-06:00,,,,2.907,600.0,0.0,7.4
2020-03-21 04:49:17.419000-06:00,2.846,9999.0,0.0,,,,
2020-03-21 04:49:18.624000-06:00,,,,2.907,600.0,0.0,7.4
2020-03-21 04:59:12.070000-06:00,2.846,9999.0,0.0,,,,
2020-03-21 04:59:14.348000-06:00,,,,2.907,600.0,0.0,7.4
2020-03-21 05:09:13.813000-06:00,,,,2.907,600.0,0.0,7.4
2020-03-21 05:09:17.817000-06:00,2.849,9999.0,0.0,,,,
