Device_id, total # of records, # of good records, # of bad records
20635F00C8000015,0,0,0
20635F00C8000062,30,3,27
20635F00C8000063,23,2,21
20635F00C8000064,20,1,19
20635F00C8000065,20,1,19
20635F00C8000066,19,2,17
20635F00C8000067,8,0,8
20635F00C8000068,16,0,16
20635F00C8000069,20,4,16
20635F00C800006A,13,0,13
20635F00C800006B,0,0,0
20635F00C8000080,17,0,17
20635F00C8000081,94,4,90
20635F00C8000082,96,6,90
20635F00C8000083,88,5,83
20635F00C8000084,282,144,138
20635F00C8000085,59,5,54
20635F00C8000086,53,6,47
20635F00C8000087,64,5,59
20635F00C8000088,69,4,65
20635F00C8000089,49,4,45
20635F00C80000A8,155,106,49
20635F00C80000A9,64,1,63
20635F00C80000AA,63,5,58
20635F00C80000AB,56,7,49
20635F00C80000AC,58,4,54
20635F00C80000AD,54,2,52
20635F00C80000AE,46,4,42
20635F00C80000AF,160,87,73
20635F00C80000B0,55,4,51
20635F00C80000B1,199,138,61
20635F00C80000BC,58,4,54
20635F00C80000BD,49,5,44
20635F00C80000BE,189,96,93
20635F00C80000BF,57,2,55
20635F00C80000C0,56,1,55
20635F00C80000C1,63,6,57
20635F00C80000C2,43,2,41
20635F00C80000C3,30,2,28
20635F00C80000C4,47,1,46
20635F00C80000C5,69,7,62
20635F00C80000E4,58,4,54
20635F00C80000E5,0,0,0
20635F00C80000E6,0,0,0
20635F00C80000E7,1,1,0
20635F00C80000E8,96,5,91
20635F00C80000E9,37,1,36
20635F00C80000EA,0,0,0
20635F00C80000EB,0,0,0
20635F00C80000EC,0,0,0
20635F00C80000ED,27,1,26
20635F010700005D,0,0,0
20635F01070000A5,0,0,0
Overall,2830,692,2138
