Device_id, total # of records, # of good records, # of bad records
20635F00C8000015,224,224,0
20635F00C8000062,17,1,16
20635F00C8000063,19,2,17
20635F00C8000064,26,3,23
20635F00C8000065,28,7,21
20635F00C8000066,20,1,19
20635F00C8000067,26,1,25
20635F00C8000068,34,2,32
20635F00C8000069,13,0,13
20635F00C800006A,17,0,17
20635F00C800006B,0,0,0
20635F00C8000080,27,5,22
20635F00C8000081,89,9,80
20635F00C8000082,82,7,75
20635F00C8000083,84,9,75
20635F00C8000084,261,131,130
20635F00C8000085,18,2,16
20635F00C8000086,41,1,40
20635F00C8000087,65,7,58
20635F00C8000088,39,1,38
20635F00C8000089,30,2,28
20635F00C80000A8,187,137,50
20635F00C80000A9,68,5,63
20635F00C80000AA,35,4,31
20635F00C80000AB,61,4,57
20635F00C80000AC,42,4,38
20635F00C80000AD,40,4,36
20635F00C80000AE,40,3,37
20635F00C80000AF,131,67,64
20635F00C80000B0,39,6,33
20635F00C80000B1,158,109,49
20635F00C80000BC,36,3,33
20635F00C80000BD,57,3,54
20635F00C80000BE,165,81,84
20635F00C80000BF,65,4,61
20635F00C80000C0,44,1,43
20635F00C80000C1,35,1,34
20635F00C80000C2,42,1,41
20635F00C80000C3,26,2,24
20635F00C80000C4,21,0,21
20635F00C80000C5,47,6,41
20635F00C80000E4,37,2,35
20635F00C80000E5,100,7,93
20635F00C80000E6,199,199,0
20635F00C80000E7,93,0,93
20635F00C80000E8,101,10,91
20635F00C80000E9,30,2,28
20635F00C80000EA,0,0,0
20635F00C80000EB,0,0,0
20635F00C80000EC,0,0,0
20635F00C80000ED,24,8,16
20635F010700005D,0,0,0
20635F01070000A5,0,0,0
Overall,3083,1088,1995
