Device_id, total # of records, # of good records, # of bad records
20635F00C8000015,0,0,0
20635F00C8000062,43,1,42
20635F00C8000063,37,1,36
20635F00C8000064,43,0,43
20635F00C8000065,35,1,34
20635F00C8000066,47,0,47
20635F00C8000067,45,2,43
20635F00C8000068,38,1,37
20635F00C8000069,40,1,39
20635F00C800006A,20,1,19
20635F00C800006B,0,0,0
20635F00C8000080,40,3,37
20635F00C8000081,71,3,68
20635F00C8000082,79,2,77
20635F00C8000083,82,2,80
20635F00C8000084,235,122,113
20635F00C8000085,73,3,70
20635F00C8000086,68,3,65
20635F00C8000087,66,2,64
20635F00C8000088,45,1,44
20635F00C8000089,65,3,62
20635F00C80000A8,102,70,32
20635F00C80000A9,59,3,56
20635F00C80000AA,52,3,49
20635F00C80000AB,66,2,64
20635F00C80000AC,65,3,62
20635F00C80000AD,32,1,31
20635F00C80000AE,53,2,51
20635F00C80000AF,161,86,75
20635F00C80000B0,26,0,26
20635F00C80000B1,78,59,19
20635F00C80000BC,55,1,54
20635F00C80000BD,50,2,48
20635F00C80000BE,181,91,90
20635F00C80000BF,60,2,58
20635F00C80000C0,37,1,36
20635F00C80000C1,61,4,57
20635F00C80000C2,47,1,46
20635F00C80000C3,46,0,46
20635F00C80000C4,58,2,56
20635F00C80000C5,67,4,63
20635F00C80000E4,68,2,66
20635F00C80000E5,0,0,0
20635F00C80000E6,0,0,0
20635F00C80000E7,20,20,0
20635F00C80000E8,85,4,81
20635F00C80000E9,55,1,54
20635F00C80000EA,0,0,0
20635F00C80000EB,0,0,0
20635F00C80000EC,0,0,0
20635F00C80000ED,41,1,40
20635F010700005D,0,0,0
20635F01070000A5,0,0,0
Overall,2797,517,2280
