Device_id, total # of records, # of good records, # of bad records
20635F00C8000015,0,0,0
20635F00C8000062,87,0,87
20635F00C8000063,77,1,76
20635F00C8000064,126,1,125
20635F00C8000065,67,1,66
20635F00C8000066,97,2,95
20635F00C8000067,118,1,117
20635F00C8000068,82,0,82
20635F00C8000069,99,2,97
20635F00C800006A,75,2,73
20635F00C800006B,0,0,0
20635F00C8000080,110,2,108
20635F00C8000081,90,1,89
20635F00C8000082,115,2,113
20635F00C8000083,99,1,98
20635F00C8000084,167,2,165
20635F00C8000085,128,0,128
20635F00C8000086,87,1,86
20635F00C8000087,116,1,115
20635F00C8000088,124,2,122
20635F00C8000089,120,2,118
20635F00C80000A8,146,0,146
20635F00C80000A9,140,1,139
20635F00C80000AA,115,2,113
20635F00C80000AB,143,2,141
20635F00C80000AC,99,1,98
20635F00C80000AD,72,0,72
20635F00C80000AE,127,2,125
20635F00C80000AF,170,0,170
20635F00C80000B0,92,1,91
20635F00C80000B1,79,1,78
20635F00C80000BC,69,1,68
20635F00C80000BD,128,1,127
20635F00C80000BE,113,1,112
20635F00C80000BF,87,6,81
20635F00C80000C0,97,1,96
20635F00C80000C1,100,0,100
20635F00C80000C2,113,0,113
20635F00C80000C3,154,1,153
20635F00C80000C4,102,2,100
20635F00C80000C5,176,1,175
20635F00C80000E4,117,1,116
20635F00C80000E5,0,0,0
20635F00C80000E6,0,0,0
20635F00C80000E7,2,2,0
20635F00C80000E8,169,2,167
20635F00C80000E9,91,0,91
20635F00C80000EA,0,0,0
20635F00C80000EB,0,0,0
20635F00C80000EC,0,0,0
20635F00C80000ED,91,1,90
20635F010700005D,0,0,0
20635F01070000A5,0,0,0
Overall,4776,54,4722
