Device_id, total # of records, # of good records, # of bad records
20635F00C8000015,0,0,0
20635F00C8000062,33,1,32
20635F00C8000063,51,2,49
20635F00C8000064,43,1,42
20635F00C8000065,35,1,34
20635F00C8000066,48,1,47
20635F00C8000067,33,2,31
20635F00C8000068,47,0,47
20635F00C8000069,29,1,28
20635F00C800006A,31,1,30
20635F00C800006B,0,0,0
20635F00C8000080,44,2,42
20635F00C8000081,98,10,88
20635F00C8000082,96,8,88
20635F00C8000083,96,3,93
20635F00C8000084,273,137,136
20635F00C8000085,56,2,54
20635F00C8000086,51,2,49
20635F00C8000087,63,4,59
20635F00C8000088,30,1,29
20635F00C8000089,46,0,46
20635F00C80000A8,131,89,42
20635F00C80000A9,71,5,66
20635F00C80000AA,52,1,51
20635F00C80000AB,52,4,48
20635F00C80000AC,41,2,39
20635F00C80000AD,49,1,48
20635F00C80000AE,46,2,44
20635F00C80000AF,130,65,65
20635F00C80000B0,32,2,30
20635F00C80000B1,131,92,39
20635F00C80000BC,32,2,30
20635F00C80000BD,30,1,29
20635F00C80000BE,146,75,71
20635F00C80000BF,82,3,79
20635F00C80000C0,41,2,39
20635F00C80000C1,51,2,49
20635F00C80000C2,54,2,52
20635F00C80000C3,38,0,38
20635F00C80000C4,47,1,46
20635F00C80000C5,68,4,64
20635F00C80000E4,48,3,45
20635F00C80000E5,0,0,0
20635F00C80000E6,0,0,0
20635F00C80000E7,3,3,0
20635F00C80000E8,87,2,85
20635F00C80000E9,49,3,46
20635F00C80000EA,0,0,0
20635F00C80000EB,0,0,0
20635F00C80000EC,0,0,0
20635F00C80000ED,35,1,34
20635F010700005D,0,0,0
20635F01070000A5,0,0,0
Overall,2749,546,2203
