Device_id, total # of records, # of good records, # of bad records
20635F00C8000015,0,0,0
20635F00C8000062,1,0,1
20635F00C8000063,6,1,5
20635F00C8000064,27,0,27
20635F00C8000065,15,1,14
20635F00C8000066,2,0,2
20635F00C8000067,0,0,0
20635F00C8000068,18,0,18
20635F00C8000069,7,0,7
20635F00C800006A,1,0,1
20635F00C800006B,0,0,0
20635F00C8000080,14,0,14
20635F00C8000081,110,2,108
20635F00C8000082,30,1,29
20635F00C8000083,27,1,26
20635F00C8000084,136,1,135
20635F00C8000085,125,3,122
20635F00C8000086,105,6,99
20635F00C8000087,103,2,101
20635F00C8000088,72,6,66
20635F00C8000089,71,4,67
20635F00C80000A8,192,23,169
20635F00C80000A9,82,5,77
20635F00C80000AA,115,3,112
20635F00C80000AB,69,3,66
20635F00C80000AC,60,2,58
20635F00C80000AD,122,3,119
20635F00C80000AE,114,3,111
20635F00C80000AF,204,1,203
20635F00C80000B0,76,5,71
20635F00C80000B1,51,0,51
20635F00C80000BC,57,2,55
20635F00C80000BD,75,3,72
20635F00C80000BE,123,2,121
20635F00C80000BF,81,1,80
20635F00C80000C0,1,0,1
20635F00C80000C1,78,5,73
20635F00C80000C2,72,0,72
20635F00C80000C3,131,1,130
20635F00C80000C4,85,9,76
20635F00C80000C5,51,2,49
20635F00C80000E4,75,4,71
20635F00C80000E5,0,0,0
20635F00C80000E6,0,0,0
20635F00C80000E7,3,3,0
20635F00C80000E8,86,2,84
20635F00C80000E9,66,4,62
20635F00C80000EA,0,0,0
20635F00C80000EB,0,0,0
20635F00C80000EC,0,0,0
20635F00C80000ED,22,0,22
20635F010700005D,0,0,0
20635F01070000A5,0,0,0
Overall,2961,114,2847
