Device_id, total # of records, # of good records, # of bad records
20635F00C8000015,0,0,0
20635F00C8000062,31,1,30
20635F00C8000063,34,2,32
20635F00C8000064,66,0,66
20635F00C8000065,21,0,21
20635F00C8000066,37,0,37
20635F00C8000067,59,0,59
20635F00C8000068,43,1,42
20635F00C8000069,19,0,19
20635F00C800006A,51,0,51
20635F00C800006B,0,0,0
20635F00C8000080,29,1,28
20635F00C8000081,69,1,68
20635F00C8000082,48,1,47
20635F00C8000083,58,2,56
20635F00C8000084,137,1,136
20635F00C8000085,92,1,91
20635F00C8000086,91,3,88
20635F00C8000087,115,1,114
20635F00C8000088,83,1,82
20635F00C8000089,39,0,39
20635F00C80000A8,114,1,113
20635F00C80000A9,85,3,82
20635F00C80000AA,89,1,88
20635F00C80000AB,40,4,36
20635F00C80000AC,41,0,41
20635F00C80000AD,77,0,77
20635F00C80000AE,105,1,104
20635F00C80000AF,106,0,106
20635F00C80000B0,27,1,26
20635F00C80000B1,115,2,113
20635F00C80000BC,36,1,35
20635F00C80000BD,39,0,39
20635F00C80000BE,104,1,103
20635F00C80000BF,85,3,82
20635F00C80000C0,92,1,91
20635F00C80000C1,34,1,33
20635F00C80000C2,88,0,88
20635F00C80000C3,132,1,131
20635F00C80000C4,72,1,71
20635F00C80000C5,49,2,47
20635F00C80000E4,47,1,46
20635F00C80000E5,0,0,0
20635F00C80000E6,0,0,0
20635F00C80000E7,2,2,0
20635F00C80000E8,86,5,81
20635F00C80000E9,39,0,39
20635F00C80000EA,0,0,0
20635F00C80000EB,0,0,0
20635F00C80000EC,0,0,0
20635F00C80000ED,29,0,29
20635F010700005D,0,0,0
20635F01070000A5,0,0,0
Overall,2855,48,2807
