Device_id, total # of records, # of good records, # of bad records
20635F00C8000015,0,0,0
20635F00C8000062,39,2,37
20635F00C8000063,36,3,33
20635F00C8000064,42,3,39
20635F00C8000065,34,2,32
20635F00C8000066,49,6,43
20635F00C8000067,40,2,38
20635F00C8000068,48,3,45
20635F00C8000069,42,3,39
20635F00C800006A,20,2,18
20635F00C800006B,0,0,0
20635F00C8000080,43,1,42
20635F00C8000081,101,5,96
20635F00C8000082,103,9,94
20635F00C8000083,98,7,91
20635F00C8000084,239,110,129
20635F00C8000085,80,7,73
20635F00C8000086,53,2,51
20635F00C8000087,52,5,47
20635F00C8000088,64,3,61
20635F00C8000089,65,3,62
20635F00C80000A8,126,77,49
20635F00C80000A9,79,4,75
20635F00C80000AA,64,5,59
20635F00C80000AB,75,3,72
20635F00C80000AC,58,4,54
20635F00C80000AD,33,1,32
20635F00C80000AE,73,3,70
20635F00C80000AF,137,72,65
20635F00C80000B0,67,7,60
20635F00C80000B1,130,73,57
20635F00C80000BC,67,3,64
20635F00C80000BD,58,6,52
20635F00C80000BE,157,72,85
20635F00C80000BF,92,7,85
20635F00C80000C0,63,4,59
20635F00C80000C1,70,9,61
20635F00C80000C2,74,4,70
20635F00C80000C3,49,6,43
20635F00C80000C4,46,2,44
20635F00C80000C5,86,6,80
20635F00C80000E4,50,3,47
20635F00C80000E5,0,0,0
20635F00C80000E6,0,0,0
20635F00C80000E7,35,35,0
20635F00C80000E8,101,5,96
20635F00C80000E9,71,4,67
20635F00C80000EA,0,0,0
20635F00C80000EB,0,0,0
20635F00C80000EC,0,0,0
20635F00C80000ED,35,2,33
20635F010700005D,0,0,0
20635F01070000A5,0,0,0
Overall,3144,595,2549
