Device_id, total # of records, # of good records, # of bad records
20635F00C8000015,0,0,0
20635F00C8000062,35,0,35
20635F00C8000063,39,2,37
20635F00C8000064,73,6,67
20635F00C8000065,22,3,19
20635F00C8000066,68,2,66
20635F00C8000067,62,0,62
20635F00C8000068,58,2,56
20635F00C8000069,23,0,23
20635F00C800006A,50,1,49
20635F00C800006B,0,0,0
20635F00C8000080,27,3,24
20635F00C8000081,152,2,150
20635F00C8000082,67,1,66
20635F00C8000083,70,5,65
20635F00C8000084,198,1,197
20635F00C8000085,61,0,61
20635F00C8000086,53,1,52
20635F00C8000087,105,0,105
20635F00C8000088,51,1,50
20635F00C8000089,33,0,33
20635F00C80000A8,67,0,67
20635F00C80000A9,83,5,78
20635F00C80000AA,69,11,58
20635F00C80000AB,25,1,24
20635F00C80000AC,20,2,18
20635F00C80000AD,49,2,47
20635F00C80000AE,68,2,66
20635F00C80000AF,90,0,90
20635F00C80000B0,20,2,18
20635F00C80000B1,59,1,58
20635F00C80000BC,20,0,20
20635F00C80000BD,31,1,30
20635F00C80000BE,123,1,122
20635F00C80000BF,84,3,81
20635F00C80000C0,0,0,0
20635F00C80000C1,56,4,52
20635F00C80000C2,76,0,76
20635F00C80000C3,78,1,77
20635F00C80000C4,58,1,57
20635F00C80000C5,34,2,32
20635F00C80000E4,52,1,51
20635F00C80000E5,0,0,0
20635F00C80000E6,0,0,0
20635F00C80000E7,0,0,0
20635F00C80000E8,82,3,79
20635F00C80000E9,23,1,22
20635F00C80000EA,0,0,0
20635F00C80000EB,0,0,0
20635F00C80000EC,0,0,0
20635F00C80000ED,28,2,26
20635F010700005D,0,0,0
20635F01070000A5,0,0,0
Overall,2542,76,2466
