Device_id, total # of records, # of good records, # of bad records
20635F00C8000015,0,0,0
20635F00C8000062,49,2,47
20635F00C8000063,36,0,36
20635F00C8000064,77,2,75
20635F00C8000065,21,1,20
20635F00C8000066,65,2,63
20635F00C8000067,61,1,60
20635F00C8000068,64,2,62
20635F00C8000069,35,1,34
20635F00C800006A,57,1,56
20635F00C800006B,0,0,0
20635F00C8000080,50,1,49
20635F00C8000081,83,0,83
20635F00C8000082,48,2,46
20635F00C8000083,36,1,35
20635F00C8000084,155,0,155
20635F00C8000085,85,0,85
20635F00C8000086,93,0,93
20635F00C8000087,145,2,143
20635F00C8000088,84,4,80
20635F00C8000089,61,3,58
20635F00C80000A8,125,1,124
20635F00C80000A9,92,4,88
20635F00C80000AA,86,0,86
20635F00C80000AB,39,3,36
20635F00C80000AC,35,0,35
20635F00C80000AD,46,0,46
20635F00C80000AE,104,1,103
20635F00C80000AF,94,0,94
20635F00C80000B0,36,0,36
20635F00C80000B1,72,0,72
20635F00C80000BC,40,4,36
20635F00C80000BD,50,3,47
20635F00C80000BE,100,0,100
20635F00C80000BF,84,2,82
20635F00C80000C0,90,1,89
20635F00C80000C1,35,0,35
20635F00C80000C2,73,0,73
20635F00C80000C3,129,1,128
20635F00C80000C4,78,0,78
20635F00C80000C5,49,0,49
20635F00C80000E4,46,2,44
20635F00C80000E5,0,0,0
20635F00C80000E6,0,0,0
20635F00C80000E7,2,2,0
20635F00C80000E8,89,3,86
20635F00C80000E9,42,0,42
20635F00C80000EA,0,0,0
20635F00C80000EB,0,0,0
20635F00C80000EC,0,0,0
20635F00C80000ED,45,1,44
20635F010700005D,0,0,0
20635F01070000A5,0,0,0
Overall,2986,53,2933
