Device_id, total # of records, # of good records, # of bad records
20635F00C8000015,0,0,0
20635F00C8000062,23,0,23
20635F00C8000063,22,0,22
20635F00C8000064,56,0,56
20635F00C8000065,16,0,16
20635F00C8000066,46,1,45
20635F00C8000067,37,0,37
20635F00C8000068,35,1,34
20635F00C8000069,27,0,27
20635F00C800006A,33,1,32
20635F00C800006B,0,0,0
20635F00C8000080,24,2,22
20635F00C8000081,85,2,83
20635F00C8000082,55,2,53
20635F00C8000083,54,2,52
20635F00C8000084,123,2,121
20635F00C8000085,65,1,64
20635F00C8000086,98,0,98
20635F00C8000087,102,1,101
20635F00C8000088,100,1,99
20635F00C8000089,60,0,60
20635F00C80000A8,95,0,95
20635F00C80000A9,91,2,89
20635F00C80000AA,96,0,96
20635F00C80000AB,44,2,42
20635F00C80000AC,35,1,34
20635F00C80000AD,75,0,75
20635F00C80000AE,88,1,87
20635F00C80000AF,149,1,148
20635F00C80000B0,55,1,54
20635F00C80000B1,100,2,98
20635F00C80000BC,48,1,47
20635F00C80000BD,48,2,46
20635F00C80000BE,149,1,148
20635F00C80000BF,86,2,84
20635F00C80000C0,74,0,74
20635F00C80000C1,52,2,50
20635F00C80000C2,73,0,73
20635F00C80000C3,176,0,176
20635F00C80000C4,96,0,96
20635F00C80000C5,40,1,39
20635F00C80000E4,36,0,36
20635F00C80000E5,0,0,0
20635F00C80000E6,0,0,0
20635F00C80000E7,0,0,0
20635F00C80000E8,86,3,83
20635F00C80000E9,51,0,51
20635F00C80000EA,0,0,0
20635F00C80000EB,0,0,0
20635F00C80000EC,0,0,0
20635F00C80000ED,24,2,22
20635F010700005D,0,0,0
20635F01070000A5,0,0,0
Overall,2928,40,2888
