Device_id, total # of records, # of good records, # of bad records
20635F00C8000015,0,0,0
20635F00C8000062,46,2,44
20635F00C8000063,49,3,46
20635F00C8000064,50,3,47
20635F00C8000065,40,0,40
20635F00C8000066,42,1,41
20635F00C8000067,42,1,41
20635F00C8000068,52,0,52
20635F00C8000069,41,2,39
20635F00C800006A,40,2,38
20635F00C800006B,0,0,0
20635F00C8000080,58,4,54
20635F00C8000081,87,4,83
20635F00C8000082,82,7,75
20635F00C8000083,77,3,74
20635F00C8000084,262,134,128
20635F00C8000085,61,7,54
20635F00C8000086,47,3,44
20635F00C8000087,51,3,48
20635F00C8000088,42,2,40
20635F00C8000089,37,1,36
20635F00C80000A8,82,60,22
20635F00C80000A9,83,3,80
20635F00C80000AA,44,4,40
20635F00C80000AB,63,4,59
20635F00C80000AC,42,2,40
20635F00C80000AD,43,2,41
20635F00C80000AE,66,3,63
20635F00C80000AF,119,62,57
20635F00C80000B0,53,3,50
20635F00C80000B1,154,107,47
20635F00C80000BC,43,2,41
20635F00C80000BD,21,0,21
20635F00C80000BE,119,66,53
20635F00C80000BF,65,4,61
20635F00C80000C0,49,2,47
20635F00C80000C1,42,5,37
20635F00C80000C2,42,1,41
20635F00C80000C3,27,1,26
20635F00C80000C4,35,0,35
20635F00C80000C5,43,0,43
20635F00C80000E4,44,1,43
20635F00C80000E5,0,0,0
20635F00C80000E6,0,0,0
20635F00C80000E7,30,30,0
20635F00C80000E8,85,4,81
20635F00C80000E9,47,2,45
20635F00C80000EA,0,0,0
20635F00C80000EB,0,0,0
20635F00C80000EC,0,0,0
20635F00C80000ED,49,2,47
20635F010700005D,0,0,0
20635F01070000A5,0,0,0
Overall,2696,552,2144
