Device_id, total # of records, # of good records, # of bad records
20635F00C8000015,14,14,0
20635F00C8000062,5,0,5
20635F00C8000063,7,0,7
20635F00C8000064,9,0,9
20635F00C8000065,5,0,5
20635F00C8000066,3,0,3
20635F00C8000067,18,13,5
20635F00C8000068,5,0,5
20635F00C8000069,5,0,5
20635F00C800006A,6,3,3
20635F00C800006B,0,0,0
20635F00C8000080,5,0,5
20635F00C8000081,8,0,8
20635F00C8000082,9,0,9
20635F00C8000083,8,0,8
20635F00C8000084,26,13,13
20635F00C8000085,1,0,1
20635F00C8000086,3,0,3
20635F00C8000087,2,2,0
20635F00C8000088,1,1,0
20635F00C8000089,1,0,1
20635F00C80000A8,4,2,2
20635F00C80000A9,8,0,8
20635F00C80000AA,3,0,3
20635F00C80000AB,2,1,1
20635F00C80000AC,4,0,4
20635F00C80000AD,1,0,1
20635F00C80000AE,0,0,0
20635F00C80000AF,4,0,4
20635F00C80000B0,3,0,3
20635F00C80000B1,9,5,4
20635F00C80000BC,1,0,1
20635F00C80000BD,2,0,2
20635F00C80000BE,3,2,1
20635F00C80000BF,8,0,8
20635F00C80000C0,1,0,1
20635F00C80000C1,0,0,0
20635F00C80000C2,4,0,4
20635F00C80000C3,0,0,0
20635F00C80000C4,3,0,3
20635F00C80000C5,2,0,2
20635F00C80000E4,3,0,3
20635F00C80000E5,9,0,9
20635F00C80000E6,20,20,0
20635F00C80000E7,20,0,20
20635F00C80000E8,5,0,5
20635F00C80000E9,4,0,4
20635F00C80000EA,0,0,0
20635F00C80000EB,0,0,0
20635F00C80000EC,0,0,0
20635F00C80000ED,8,0,8
20635F010700005D,0,0,0
20635F01070000A5,0,0,0
Overall,272,76,196
