Device_id, total # of records, # of good records, # of bad records
20635F00C8000015,0,0,0
20635F00C8000062,44,0,44
20635F00C8000063,88,2,86
20635F00C8000064,107,1,106
20635F00C8000065,62,1,61
20635F00C8000066,72,1,71
20635F00C8000067,94,0,94
20635F00C8000068,82,1,81
20635F00C8000069,77,0,77
20635F00C800006A,53,2,51
20635F00C800006B,0,0,0
20635F00C8000080,110,2,108
20635F00C8000081,137,2,135
20635F00C8000082,154,2,152
20635F00C8000083,128,2,126
20635F00C8000084,206,2,204
20635F00C8000085,111,1,110
20635F00C8000086,112,0,112
20635F00C8000087,105,0,105
20635F00C8000088,106,2,104
20635F00C8000089,119,1,118
20635F00C80000A8,132,2,130
20635F00C80000A9,182,2,180
20635F00C80000AA,103,3,100
20635F00C80000AB,120,2,118
20635F00C80000AC,80,1,79
20635F00C80000AD,125,2,123
20635F00C80000AE,101,2,99
20635F00C80000AF,152,1,151
20635F00C80000B0,140,2,138
20635F00C80000B1,30,0,30
20635F00C80000BC,85,0,85
20635F00C80000BD,129,0,129
20635F00C80000BE,150,1,149
20635F00C80000BF,80,2,78
20635F00C80000C0,78,1,77
20635F00C80000C1,134,1,133
20635F00C80000C2,75,0,75
20635F00C80000C3,167,0,167
20635F00C80000C4,109,0,109
20635F00C80000C5,184,1,183
20635F00C80000E4,98,1,97
20635F00C80000E5,0,0,0
20635F00C80000E6,0,0,0
20635F00C80000E7,2,2,0
20635F00C80000E8,172,2,170
20635F00C80000E9,76,1,75
20635F00C80000EA,0,0,0
20635F00C80000EB,0,0,0
20635F00C80000EC,0,0,0
20635F00C80000ED,74,0,74
20635F010700005D,0,0,0
20635F01070000A5,0,0,0
Overall,4745,51,4694
