Device_id, total # of records, # of good records, # of bad records
20635F00C8000015,248,248,0
20635F00C8000062,32,1,31
20635F00C8000063,26,3,23
20635F00C8000064,29,2,27
20635F00C8000065,25,0,25
20635F00C8000066,28,4,24
20635F00C8000067,30,1,29
20635F00C8000068,35,1,34
20635F00C8000069,30,1,29
20635F00C800006A,28,2,26
20635F00C800006B,0,0,0
20635F00C8000080,39,4,35
20635F00C8000081,82,2,80
20635F00C8000082,92,10,82
20635F00C8000083,88,6,82
20635F00C8000084,243,122,121
20635F00C8000085,69,5,64
20635F00C8000086,41,4,37
20635F00C8000087,43,2,41
20635F00C8000088,72,4,68
20635F00C8000089,59,3,56
20635F00C80000A8,146,102,44
20635F00C80000A9,81,7,74
20635F00C80000AA,68,1,67
20635F00C80000AB,49,5,44
20635F00C80000AC,34,0,34
20635F00C80000AD,26,1,25
20635F00C80000AE,32,1,31
20635F00C80000AF,90,52,38
20635F00C80000B0,32,1,31
20635F00C80000B1,158,104,54
20635F00C80000BC,28,3,25
20635F00C80000BD,25,1,24
20635F00C80000BE,121,62,59
20635F00C80000BF,87,2,85
20635F00C80000C0,28,0,28
20635F00C80000C1,84,5,79
20635F00C80000C2,22,0,22
20635F00C80000C3,70,6,64
20635F00C80000C4,67,6,61
20635F00C80000C5,53,8,45
20635F00C80000E4,30,3,27
20635F00C80000E5,92,33,59
20635F00C80000E6,189,189,0
20635F00C80000E7,88,10,78
20635F00C80000E8,105,3,102
20635F00C80000E9,71,3,68
20635F00C80000EA,0,0,0
20635F00C80000EB,0,0,0
20635F00C80000EC,0,0,0
20635F00C80000ED,33,2,31
20635F010700005D,0,0,0
20635F01070000A5,0,0,0
Overall,3248,1035,2213
