Device_id, total # of records, # of good records, # of bad records
20635F00C8000015,256,256,0
20635F00C8000062,32,1,31
20635F00C8000063,16,1,15
20635F00C8000064,22,2,20
20635F00C8000065,27,0,27
20635F00C8000066,25,1,24
20635F00C8000067,29,1,28
20635F00C8000068,36,1,35
20635F00C8000069,25,2,23
20635F00C800006A,21,2,19
20635F00C800006B,0,0,0
20635F00C8000080,31,5,26
20635F00C8000081,71,1,70
20635F00C8000082,59,3,56
20635F00C8000083,57,8,49
20635F00C8000084,174,90,84
20635F00C8000085,36,2,34
20635F00C8000086,42,2,40
20635F00C8000087,46,2,44
20635F00C8000088,35,2,33
20635F00C8000089,56,2,54
20635F00C80000A8,142,100,42
20635F00C80000A9,40,1,39
20635F00C80000AA,31,1,30
20635F00C80000AB,29,1,28
20635F00C80000AC,31,0,31
20635F00C80000AD,28,1,27
20635F00C80000AE,29,0,29
20635F00C80000AF,87,51,36
20635F00C80000B0,34,2,32
20635F00C80000B1,80,57,23
20635F00C80000BC,21,1,20
20635F00C80000BD,23,1,22
20635F00C80000BE,136,68,68
20635F00C80000BF,73,3,70
20635F00C80000C0,30,3,27
20635F00C80000C1,42,2,40
20635F00C80000C2,36,1,35
20635F00C80000C3,31,2,29
20635F00C80000C4,30,1,29
20635F00C80000C5,29,2,27
20635F00C80000E4,36,1,35
20635F00C80000E5,74,10,64
20635F00C80000E6,128,67,61
20635F00C80000E7,123,120,3
20635F00C80000E8,67,3,64
20635F00C80000E9,32,0,32
20635F00C80000EA,0,0,0
20635F00C80000EB,0,0,0
20635F00C80000EC,0,0,0
20635F00C80000ED,26,6,20
20635F010700005D,0,0,0
20635F01070000A5,0,0,0
Overall,2564,889,1675
