Device_id, total # of records, # of good records, # of bad records
20635F00C8000015,166,166,0
20635F00C8000062,22,0,22
20635F00C8000063,32,0,32
20635F00C8000064,22,1,21
20635F00C8000065,29,1,28
20635F00C8000066,29,1,28
20635F00C8000067,33,3,30
20635F00C8000068,30,1,29
20635F00C8000069,20,1,19
20635F00C800006A,18,1,17
20635F00C800006B,0,0,0
20635F00C8000080,28,4,24
20635F00C8000081,75,2,73
20635F00C8000082,68,4,64
20635F00C8000083,69,3,66
20635F00C8000084,239,123,116
20635F00C8000085,46,3,43
20635F00C8000086,47,1,46
20635F00C8000087,39,2,37
20635F00C8000088,32,2,30
20635F00C8000089,64,5,59
20635F00C80000A8,160,114,46
20635F00C80000A9,68,3,65
20635F00C80000AA,54,4,50
20635F00C80000AB,44,4,40
20635F00C80000AC,39,1,38
20635F00C80000AD,60,2,58
20635F00C80000AE,62,6,56
20635F00C80000AF,155,79,76
20635F00C80000B0,52,2,50
20635F00C80000B1,135,90,45
20635F00C80000BC,47,0,47
20635F00C80000BD,47,5,42
20635F00C80000BE,159,82,77
20635F00C80000BF,72,4,68
20635F00C80000C0,45,3,42
20635F00C80000C1,59,7,52
20635F00C80000C2,50,3,47
20635F00C80000C3,44,1,43
20635F00C80000C4,38,2,36
20635F00C80000C5,47,3,44
20635F00C80000E4,55,4,51
20635F00C80000E5,78,8,70
20635F00C80000E6,195,148,47
20635F00C80000E7,212,3,209
20635F00C80000E8,81,5,76
20635F00C80000E9,36,1,35
20635F00C80000EA,0,0,0
20635F00C80000EB,0,0,0
20635F00C80000EC,0,0,0
20635F00C80000ED,31,1,30
20635F010700005D,0,0,0
20635F01070000A5,0,0,0
Overall,3233,909,2324
