Device_id, total # of records, # of good records, # of bad records
20635F00C8000015,0,0,0
20635F00C8000062,64,0,64
20635F00C8000063,38,1,37
20635F00C8000064,87,1,86
20635F00C8000065,46,1,45
20635F00C8000066,101,1,100
20635F00C8000067,69,1,68
20635F00C8000068,103,0,103
20635F00C8000069,47,5,42
20635F00C800006A,64,1,63
20635F00C800006B,0,0,0
20635F00C8000080,47,1,46
20635F00C8000081,123,0,123
20635F00C8000082,68,4,64
20635F00C8000083,72,6,66
20635F00C8000084,199,1,198
20635F00C8000085,104,0,104
20635F00C8000086,86,2,84
20635F00C8000087,88,1,87
20635F00C8000088,117,2,115
20635F00C8000089,26,1,25
20635F00C80000A8,50,1,49
20635F00C80000A9,81,4,77
20635F00C80000AA,115,1,114
20635F00C80000AB,51,4,47
20635F00C80000AC,64,3,61
20635F00C80000AD,105,1,104
20635F00C80000AE,111,1,110
20635F00C80000AF,178,1,177
20635F00C80000B0,53,5,48
20635F00C80000B1,102,1,101
20635F00C80000BC,62,6,56
20635F00C80000BD,57,4,53
20635F00C80000BE,129,1,128
20635F00C80000BF,75,6,69
20635F00C80000C0,1,1,0
20635F00C80000C1,40,2,38
20635F00C80000C2,109,2,107
20635F00C80000C3,153,2,151
20635F00C80000C4,100,2,98
20635F00C80000C5,65,7,58
20635F00C80000E4,49,1,48
20635F00C80000E5,0,0,0
20635F00C80000E6,0,0,0
20635F00C80000E7,0,0,0
20635F00C80000E8,74,3,71
20635F00C80000E9,18,2,16
20635F00C80000EA,0,0,0
20635F00C80000EB,0,0,0
20635F00C80000EC,0,0,0
20635F00C80000ED,41,0,41
20635F010700005D,0,0,0
20635F01070000A5,0,0,0
Overall,3432,90,3342
