Device_id, total # of records, # of good records, # of bad records
20635F00C8000015,244,244,0
20635F00C8000062,35,4,31
20635F00C8000063,28,1,27
20635F00C8000064,24,1,23
20635F00C8000065,26,1,25
20635F00C8000066,27,2,25
20635F00C8000067,22,1,21
20635F00C8000068,44,0,44
20635F00C8000069,18,2,16
20635F00C800006A,18,0,18
20635F00C800006B,0,0,0
20635F00C8000080,23,1,22
20635F00C8000081,66,1,65
20635F00C8000082,70,1,69
20635F00C8000083,63,3,60
20635F00C8000084,191,92,99
20635F00C8000085,22,0,22
20635F00C8000086,35,0,35
20635F00C8000087,43,3,40
20635F00C8000088,44,1,43
20635F00C8000089,33,1,32
20635F00C80000A8,127,86,41
20635F00C80000A9,81,2,79
20635F00C80000AA,28,0,28
20635F00C80000AB,42,0,42
20635F00C80000AC,43,3,40
20635F00C80000AD,30,1,29
20635F00C80000AE,39,3,36
20635F00C80000AF,101,50,51
20635F00C80000B0,29,2,27
20635F00C80000B1,114,77,37
20635F00C80000BC,36,4,32
20635F00C80000BD,36,1,35
20635F00C80000BE,115,60,55
20635F00C80000BF,87,2,85
20635F00C80000C0,39,3,36
20635F00C80000C1,49,1,48
20635F00C80000C2,35,4,31
20635F00C80000C3,29,1,28
20635F00C80000C4,29,0,29
20635F00C80000C5,32,3,29
20635F00C80000E4,39,3,36
20635F00C80000E5,89,7,82
20635F00C80000E6,9,7,2
20635F00C80000E7,203,13,190
20635F00C80000E8,87,11,76
20635F00C80000E9,23,3,20
20635F00C80000EA,0,0,0
20635F00C80000EB,0,0,0
20635F00C80000EC,0,0,0
20635F00C80000ED,27,1,26
20635F010700005D,0,0,0
20635F01070000A5,0,0,0
Overall,2674,707,1967
